ID,Text_Input
21,My Rm is not at all interested in the performance of an individual. He only prefer those who are political and threat for my rm in a job prospects . Because if he care those people then his job will be secure otherwise those political person will form a goup and go against the rm and throw the rm out of the company by creating fake allegations. He will not at all listen to anyone who behave good with him. He should be threatened in the one on one and should be scared for his job. Then only he take care ofhis team member. I He will not at all listen to anyone who behave good with him. He should be threatened in the one on one and should be scared for his job. Then only he take care of his team memberhate such type of team leader who are such scared of the ssociates. He should be brave enough to handle tough situations.
22,"my manager is smart and well educated, like me he also started at the bottom and now at the top,  he likes to see himself as a role model at work and he really encourages people to come up with different solutions and really encourages out of the box thining.  He will be watching but will let you have your way.  He has no tolerance to unsafe workers, safety in the work place comes first and rules are there to be followed,  He also ensures that none of us are over worked or  given extra responsibility wher there is some one else free and available to do that job.  Plus he constantly monitors each of his staff and tell them whats wrong or what is right"
23,"My leader,a respectable lady with years of experience,have personal relationship with everyone of the staff.In the 50 plus staffs,she keeps a special relation with me, I am also considers her as my true boss; for  the respect and considerations she gives e. She is always  by my side in case of new training program and put my first in all her priorities( of whom she considers as loyal subordinates).Even though she is 5 years older to me,she always treat me as her elder brother and behaves like with such  rspect.And I ,on my part,considers her  not as my supervisor,but my elder sister.She is friendly with all by co workers,but always put me first in anything connected with work."
24,My working relationship with my leader is really good. He helps me in everything. He supports me to a great extent. I am someone really special to him. He gave me a really good coaching and development to enhance my career and my organisation. He tries toset my personal goals along with sets and sides of the goals and purposes of goals of the organisation. My manager always respects me to a great extend. As compared to my co- workers relationship it is really good and great. The relationship is valued andto a great extend it is good. I enjoy this relationship and I want to be in this kind of relation with my leader.
25,"1. I do not get any coaching and development by my leader. I have never told what to do and the project were done by the worker but the name goes to the manager.
2. He shows the respect externally and in front but considering his behavior with others, I d not think its from heart. I think its for self accomplishment. It is just going professional and nothing more friendly type. I am not allowed to think on my perspectives. I should do only what he had told to do. I do not have independence to work on my on ideas. He does not provide resources even though he gets it from our organization. 
3. My relationship with my leader is good in behavior and some support for fresh innovative ideas. But neither me nor others do not trust our leader in revealing our ides."
26,"When I first started at my company, my leader gave me a fair amount of coaching, but after a few months, he stopped doing that and I was left to figure out things on my own.  He doesn't show me much respect, one example is I haven't had a desk or a cubicl or drawer or closet in one place in all my time at the company. Almost every day he sticks meet at a different work location, some of which are crowded and noisy and dark.  I cannot help but perceive that many of my coworkers have a much better relationsip with my boss than I do. And I'm sorry to say that I believe the reason why is that both my boss and most of my coworkers are Hispanic, and I am not."
27,"My manager give me totally freedom to do business in my own way he only tell me target , and whenever I achieve my target my manager give nature smile and salute me. My manager is good man he maintain good relation with all works. He is believe in work bu not in pressure , he believes pressure free environment creat positive effect in work place also in workers behaviour . whenever position is not positive my manager control his mind and always try to be positiv and that thing give us straight to work , w have good relation we are work like family ,This thing creat tension free work environment and creat really positive effect in work."
28,"I was just a newbie when I joined this company and my manager offered the essential time to learn the basics of the field. He never discouraged me for my mistakes. Infact, he played the role of the trainer at times. 
For three months, I was just learning he basics. He never pushed me to make things in a rush. The patient and interest has showered in that period of time was invaluable. 
All the credit goes to my leader as I'm being the top most personality in my field now. He never committed himself to comare my achievements with others. 

I was just a newbie when I joined this company and my manager offered the essential time to learn the basics of the field. He never discouraged me for my mistakes. Infact, he played the role of the trainer at times. 
Forthree months, I was just learning the basics. He never pushed me to make things in a rush. The patient and interest has showered in that period of time was invaluable. 
All the credit goes to my leader as I'm being the top most personality in my field now He never committed himself to compare my achievements with others."
29,my boss goes the extra mile to make sure that we have basic knowledge and up to date training on the most current devices and products. I think he does very well in promoting great attitudes and to keep a strong motivated sense of happiness in and maongstour colleauges. I am happy with his professional approach to the way we a;ll inteeract with one another as well. he goes above and beyond the call of duty to make sure that everything is done and that everyone accomplishises their goals in a times fasion nd that the product quota is met. i have a great deep sense of respect for him as he does this and has a great smile on his face as well
30,"My leader offers very little coaching and development.  This is because she does not know herself.  I know more about the job than she does.  She occasionally shows that she respects me by greetings, listening and using my suggestions.  However, sometimesshe doesn't what she wants anyway which never has a good outcome.  I have a better relationship with my leader than my co-workers since I am her assistant.  I feel she does not respect my co-workers and acts in passive aggressive ways to most of them.  A ouple of them intimidate her and she does not correct them, but goes out of her way to correct those she can intimidate."
31,"We have a great manager.  She is always showing us how to do our work more efficiently, with less stress on us.  She behaves in a very professional manner, but is friendly with all of us too.  I really do believe that she treats us workers all the same.  f we have problems, she helps us.  If we need any additional products to do our work, she really tries to get it for us as soon as she can.  She provides meetings a lot to talk to us about  her concerns or if she has complaints about any of us.  She holdsmeetings for all of us and also private meetings for any one of us if she needs to talk to us in private."
32,"1. When I joined the organization, he provided all the required care and assistance. Even now, he asks me for any required guidance and approves any required training for me. 

2. My leader always valued by opinion in all the activities related to the orgnization. Whenever there is any disagreement, he sits with me and try to understand my point of view about the problem.

3. My leader does not show any discrimination between the people working under him. He treats me and others in this team equally. He mintain a good relationship even with people who are not considered to be so good performers in the organization."
33,"My leader, which is also my manager, is very considerate. He always asks if I can do the job correctly. He also offers his skills if there's something I don't understand. My leader respects each and everyone in a way that he is not bossy- type of a leader He really loves working with us and it makes me happy that my leader gives time for us when we need him. I have no issues related to my leader because he's so generous and humble to us. My leader treats us fairly. And that's how I describe the working reationship of my leader. My leader and I are working almost 2 years and we never had some big issues with each other."
34,"There was limited coaching and development, more of a throw you in and you either sick or swim mentality. With very limited training it is hard to really know what is expected of you, what the overall goal of the company is and how to proceed in finding yu fit within the organization. All these item can be tricky when entering a new work environment and social arena. My leaders behavior shows they respect me every once and a while with kind written words. The leader is not one to express emotions or appreiation well, it is a great effort on mynleaders part so I have learned to extend that curtesy to staff. Ocassionally I will,get verbal compliments of appreciation and I receive them more so than other employees and outside staff. My relationship with my lader compared to others in the work place is far better, I have earned the leaders respect and go out of my way to show the leader I put in that extra effort before I am asked. This allows me to have that extra one on one time with the leader as well as drectly point out my completed tasks and extra efforts,  to so they can be recognized and compensated but so these efforts can me remembered later. Overall, my relationship is good with my leader currently. However, I have only been employed there in this apacity a limited amount of time. It is my understanding that overtime the relationship with the leader always comes to an impasse sort of a falling out. It is my great effort to not have that happen and keep the interest so to speak with my leader. It ismy thinking that doing the extras can only improve my relationship with my leader and prolong the good relationship."
35,"My leader provides a good deal of coaching and development but I think this is mostly due to that being part of his job description and it is a state mandated role he undertakes. I do not believe he provides this coaching and development out of any personl connection with myself. He has always been very respectful in our interactions with each other and always shows deference to my expertise in areas that he has a limited knowledge of. I believe my relationship with my leader is the same, no more, no less than that of my fellow co-workers. There are some who connect with him on a different level due to personal hobbies but not much more than that."
36,"My leader is also my guide and mentor. He always guides me and helps me when I struggle with any work. He is very gentle and kind, and praises my efforts and takes them to the management. He advises me on where to obtain career coaching that would enhancemy promotion offers and get me more payment from the management.  He likes my work and dedication and therefore he encourages me and mentions about my good work to my co-workers. He treats me like a child and always compliments me whenever any project preentation gets extra payment for my good work. He respects me and shows it whenever occasion arises, in presentations, when I have festivities in my family. He always attends all my family occasions unlike the other employees to whose functions, he goes ony when possible."
37,"He is generally a friendly guy. But as I am very new to this firm, he try to not to be silly with me. But I can see my co-workers who joined before me is talking very friendly with the manager. But manager takes advantage of them too to accomplish some pesonal works. He rarely talks with me. He tries to keep a distance from me. But at the same time he didn't gave me any work loads. He sometimes wishes me in the morning. He always minds me when he is passing past me. He is an easy guy. He is sometimes chilish with my senior co-workers and he talks about his personal affairs with them. But is very strict on some important issues at work."
38,"First of all, It is my pleasure to share my experience. My Team leader is really most down to earth person, who cares and helps everyone belongs to him. But he has special attention towards me because I am proactive and a jovial person. I try to complete he works allowed for me and at the mean time I try to start helping my colleague. I hope so this attitude of mine makes me stand out from the crew as a unique. He assists me a lot and gives lots and lots of ideas to think more innovatively like him. So I m really blessed to work under his supervision. In my point of view, I don't want to separate him by saying that he is my head. Instead of that, all our team members used to call him as a brother, because he gives freedom with some extend like a brother a the same time we maintained that greatness by completing our projects and tasks before the deadline comes."
39,"as our leader is always friendly and he coaches me at all time when i needed with out asking he helps me without hesitation and improved my development a lot, if i did a mistake he wont show in in front of others he will call me and show my error and teac me how to over come this problems without doing any mistakes later, and he is not behaving like a leader he is always friendly and leader at the time when i needed, his guidance makes me more comfortable and energetic which makes to prove myself in all tings and i like him so much, because of his leadership and his appearance was so polite and not show his as a leader but as a friend for all and he supports all co workers with out any hesitation"
40,"My leader is helpful in many ways to me. He always listens to my problems and difficulties professional as well as personal. Whenever there is some mistake from my side, he always stands by me. In front of any other employees of our company; my manager dos not scold or shout at me. That is why i can say that he respects me and gives me full cover and freedom. My relationship with my manager is far better than of any other employee's with my manager. This  I can say on the basis of many examples like we dicuss our personal problems with each other or about sports, movies etc also. Some times we go out for dinner or lunch, even then also he always keeps me in front of everybody.  My manager helps me emotionally and if required financially also. Like for exaple, i needed some money for hernia operation of my little brother. In this case, my manager also contributed in paying some part of the medical bill. He also helps in achieving me my goals and objectives at my work place. My supervisor is very caring andsincere. He takes the responsibility on his shoulders always and never runs away. He always provides guidance to me regarding solving problems at my work place. Like for example, once i found myself in soup when one our clients defaults in a payment. At tat time my supervisor helped me to tackle with that client to extract payment from the client.   My manager helps me emotionally and if required financially also. Like for example, i needed some money for hernia operation of my little brother. In this cas, my manager also contributed in paying some part of the medical bill. He also helps in achieving me my goals and objectives at my work place. My supervisor is very caring and sincere. He takes the responsibility on his shoulders always and never runs awa. He always provides guidance to me regarding solving problems at my work place. Like for example, once i found myself in soup when one our clients defaults in a payment. At that time my supervisor helped me"
41,"I really love to work under my current supervisor who is the vice principal of our school and the head of sections class IX to XII.  She is very sincere and honest and motherly figure for me.  She guides me always and has always a lot positive energy whic transfers to the employees.  She gives responsibility now and then and she appreciate my abilities whenever she gets an opportunity.  Whenever I get such type responsibility I believe that she cares for me and respect me in my work.  I feel most of the eployees who work under will have the same kind of relationship what I have with my madam or sometimes even more than me.  All in all, I love to work under her."
42,"My manager is generally uninterested in helping or supporting people in general. While he is good at his job he is very uninterested in moving anything forward or showing support to his better staff. He will basically ignore complaints and not be willing o help people when they need it. He basically treats everybody equally. Although he does have a few newer staff members who he shows more concern towards. It is very frustrating being in this situation, but he has made it clear that he is not going to be hanging. It is fairly easy to ignore him for the most part but it still doe grate on me and make me wish that things were different."
43,"1) My leader provided me enough time to learn new things for the project, he encouraged me to learn new technology. At the very first time he gave me big module and asked me to do it as a challenge. sometimes he sits with me to make everything clear. 
2) e checks with my opinion, whenever he talks to client about requirement and go with my suggestion to them. He talked about me to other managers and asked me to help their projects.
3) Its a neat leader-member relationship, comparing to others most of the ime its same, sometimes there will be extra care about my safety. He is like a big brother to me."
44,"I have a wonderful relationship with my manager. She gives me a daily briefing on what is happening at the store, what is on sale, what needs to be taken care of that day. Then, I am allowed to take it from there. I check in with her via text message a fe times a shift on our sales status and other pertinent happenings and at the end of the day I report the total sales to her. She is always appreciative and thanks me. She thanks me, also, for coming in when I am not scheduled, if I am needed. My fellow coworkers also express a lot of confidence and having a good relationship with her. A very good manager."
45,My organization is very concern about my well being. Especially  my manager is very helpful and dedicated. He is very concern about the well being of his team mates. He give lot of enthusiasm and encouragement for the team members. He also give us lot of ips to do the projects quick and with error free. He also fight with the management to get correct reward for the best worker. He is some what special for me and he has lot of personal touch with me. He share all things apart  from work. Personally he car for the team members and do lot of favour for them. He is one who love the team members and he work for the well being of the team members
46,"The relationship with the company's leader is slim. We do not see them much and we do not communicate much.   We only deal with our direct supervisor, who I adore. Our leader only talks to us when there is a compliant or other negative issues.  This perso is the same way with everybody else.   She is the main person in the department however, I report to my supervisor so I try not to communicate with this department leader as it turns into a headache because she is not competent in my sections work tasks. The supervisor in this department is a hard worker and very approachable, even people in my department that do not report to my supervisor, always come to her for advice to avoid meeting with the department leader."
47,"My manager is ready to give basic coachings and training related to work. He expect me to catch up once the basic training is over. He doesnt behave like he respects me, but act like a boss and is ready to listen to my concerns. For some of the instances e may not revert on the concerns and we have to live with it. When compared to my co workers relationship with the manager, my relation is a bit better. I am getting a neutral stand from my manager where as my coworkers may be getting some negative feelins as well. When he gives his performance rating also he may behave like a neutral person."
48,"I would describe my relationship with my leader as one of give and take. That is, my effort is rewarded and I am made aware of the appreciation of it. Sometimes I have to take on more work than I would like to but my leader shows me that he appreciates whn I go the extra mile. I would say that there is an understanding between us, whereas many co-workers are more interested at advancing their own interests rather than working together to perform better as a whole. My leader is definitely someone you can tust and will do his best to make sure he notices good work. Some co-workers will try to jump ahead of you for a promotion but my leader honors loyalty over flattery."
49,"When I joined the company, I dont have any corporate experience. My Manager showed me how to focus on my job, how to ignore the back biters, and how to improve my personality. He trusted me for my straight forwardness and honesty. When he found I have mor talents than my current field, he nurtured me to proceed further. When some people are jealous of me, he gave me more work so that I can prove to myself and to them. He made others realize, I work properly and honestly. He keeps on compliments me even afer 6 years of service in same job.

My boss is honest, brilliant and very much innovative. My organization had taught me a lot to improve myself and the management team is very supportive and always encourages new ideas. My company is one of the best platorms to prove ourselves. 

I have observed the lot of strong points in my boss but the most things which I have observed or I have learnt from him is that he is innovative, energetic, is punctuality, well merged with the time management skills and fully ddication to the work and always try to learn from mistake or failure and guide to all employees on time by time and arranging training to the employees when ever needed, giving the chances to the employees for their better improvement in their respective rea, but as as we know that every person have some drawback also, nobody is always perfect. 

My boss has good ideas, they work very well. The only issue really is he always has everyone working on what they are weak at. That is good for us but not good fr overall productivity. A good team would really have people doing what they are good at. So each team member covers of certain areas for the team and you have a highly effective team, with everyone doing excellent work in areas of proficiency.

He is appoachable, spontaneous, energetic, punctual, having ability to prioritize things well, very supportive for his team members, a good motivator, strong in networking and an ambitious person. I have learnt a lot"
50,"I have a good relationship with my supervisor, he is pretty hands off about most things and allows me free reign to do my own work. He takes the attitude as long as I'm doing well, then I should be left alone to do what I'm doing. He understands that our rganization can be pretty stupid at times and therefore does try and force stupid policy down my throat. He does need to be pushed sometimes on a few things in order to have top efficiency but that is made up by actually being able to get most things donewithout alot of resistance. I think the most important quality of our relationship is that we have trust between us, and that there is no concern of either of us betraying the other or trying to screw the other in the typical office politics."
51,"I think my leader make a great effort for me and the organization, he talks very much with me and my coworkers, he calls for meetings in the work week at the biggining of the week and in the final and in that form we can see the results of our effort and ard work , i think the relationship with my leader and my coworkers is very special and we try to take the best way to do the things in our community i think we need to share more in the week ends and talk about our family and in that form we can know abor our personal problems and solve betwenn friends  we need to realize manny mettings in the week and finally in the month we have a great meeting with all our bosses and in that form they can know about the form to change methods to solve problems in the ales department we can see betwenn coworkers about the form we can do a team work, i expect my coworkers and i try all the suggestions dictated from our bosses and in that form we can improve our skills and be the best team of the company we can realize al the things in our company allways making before a presentation of our future work and waiting for the aprovation or negation of our principal leaders must be a complete team work i think thats the form to give a company the best form to make the things nd i try all the sistem with my family i am sure theat the best recomentation for me and my family an my coworkers we can see all the thigs outside in thamost easily form but inside the is the part with most difficults things we can share and we can asimiite buts the principal thing is the make the difference betwenn departments and we can do many things in our company to make a better world i hope i will work in my company for manny years and mke the best impression and in thefuture do the work of my boo because that tipe of work demands vry much and the time of that tipe of work is very exhaustings and demanding we can give much money but we be distanciated of our family and thats not price i expect the rea"
52,"My manager will lead me with his intellect and clearly states the project requirements and my role & Objectives to pursue best quality work and good ways to attain higher positions in my field of work. He is my mentor in guiding me the right way, he firstdoes his work in perfect absolution and perceive it to me as guidelines to achieve particular step, he respects my attitude and provide me enough personal space to learn from it, if i am stepping out he warns and direct to right path. He was a true leaderbecause he will not leave anyone behind and has good commitment and a good word for everyone particularly me."
53,"A particular danger in these situations is that people or organizations that are being managed by such an individual or group think they're being led; but they're not. There may actually be no leadership at all, with no one setting a vision and no one beig inspired. This can cause serious problems in the long term.

In the transformational leadership model, leaders set direction and help themselves and others to do the right thing to move forward. To do this they create an inspiring vision, and then motvate and inspire others to reach that vision. They also manage delivery of the vision, either directly or indirectly, and build and coach their teams to make them ever stronger."
54,"My leader provides very little feedback or correspondence. He is not supportive of me or our unit members when it comes to dealing with client service issues. He will break or bend rules to suit the whim of the client, which is not very supportive. It maks me feel disrespected. He doesn't use any opportunity to show how you can improve. He doesn't model or demonstrate good behavior himself. He has one clear favorite person who is allowed to break any rules she pleases, and to simply not do her assigned taks. Others have to do her work, as well as their own, which created a negative environment."
55,"After joining job position in my company, I was very pleased after meeting with colleagues . I wished that may be my manager will also be of good nature.
After 1 week of working their ,they provide very little assistance . When ever there will some proble occur with me in my project I get very least amount of guidance from them.
They show too much of attitude and superiority, even if i completed my job with very good manner.This happens not only with me but with every co-workers, but some of the employeeswithin my ranks are favorite of the leaders.
Relationship between us is not so not too bad, only formal business relationship exist between us."
56,we have a strong relationship that is based on a mutual respect and admiration for the work that we do togethers. together we have a great coaching relationshp in which we can give and get encouragement on a non confrontational manner. the relationship wih my leader compares almost similiar to other co workers relationship as our managment staff is open honest and in out of sincere care for getting the job done. It is more than vital that this relationship remain in place in order to continue our approprite work life relationship and interpersonal family like environment. I am happy at this place of work.
57,He sets down the rules and he tells me what to do. We don't have the kind of communication that I wish we had. He is sometimes mean to me and yells. But he can also be nice as well. He has a lot of pressure on him and call them all he time. We all agree tat he is a bit of tyrant and we make fun of him sometimes. He sometimes recpects us by giving us gift cards and cookies. hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhggggggggggggggggggfgfgfggfgfgfgfgffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
58,My relationship with my leader at work is very unique. He provides me with ample development resources and advice although he has somewhat unprofessional and very childish and joking behaviors he is very smart . It is hard to determine when he is being seious or just plain annoying but i can always count on him to stand up for me and my team when we need it. My leader also plays favorites among my team-mates and it is very blatant that I am one of those favorites. Many of my co workers can not get along wth our leader because only a few people really understand him and know how to take his unique sense of humor.
